#RPLIDAR SCAN DATA
#COUNT=410
#Angule	Distance	Quality
20.5444 121.0 188
21.1707 121.0 188
21.7804 120.0 188
22.4011 120.0 188
23.0273 120.0 188
23.6371 120.0 188
24.2633 121.0 188
24.8895 121.0 188
25.4993 121.0 188
26.1200 121.0 188
26.7462 122.0 188
27.3560 122.0 188
27.9822 122.0 188
28.6084 123.0 188
29.2181 122.0 188
29.8389 123.0 188
30.4651 123.0 188
31.0913 124.0 188
31.7010 124.0 188
32.3273 124.0 188
32.9480 125.0 188
33.5577 125.0 188
34.1840 126.0 188
34.8102 126.0 188
35.4199 126.0 188
36.0461 127.0 188
36.6669 127.0 188
37.2766 128.0 188
37.9028 129.0 188
38.5291 130.0 188
39.1388 131.0 188
39.7650 132.0 188
40.3857 133.0 188
41.0120 134.0 188
41.6217 136.0 188
42.2479 137.0 188
42.8741 139.0 188
43.4949 140.0 188
44.1211 142.0 188
44.7473 143.0 188
45.3571 145.0 188
45.9833 146.0 188
46.6040 148.0 188
47.2302 150.0 188
47.8564 152.0 188
48.4827 153.0 188
49.0924 155.0 188
49.7186 157.0 188
50.3394 159.0 188
50.9656 161.0 188
51.5918 164.0 188
52.2180 166.0 188
52.8387 168.0 188
53.4485 170.0 188
54.0747 173.0 188
54.4482 175.0 188
55.0745 178.0 188
55.7007 181.0 188
56.3269 184.0 188
56.9366 187.0 188
57.5574 190.0 188
58.1836 193.0 188
58.8098 196.0 188
58.9362 201.0 188
59.1833 204.0 188
60.6830 208.0 188
61.9189 218.0 188
61.0455 223.0 188
63.1714 227.0 188
62.1552 232.0 188
62.6550 237.0 188
70.7300 235.0 188
70.9827 234.0 188
73.1085 233.0 188
73.4656 232.0 188
72.5922 231.0 188
74.3390 229.0 188
75.5914 228.0 188
76.2012 228.0 188
76.8274 227.0 188
77.4481 226.0 188
78.0743 225.0 188
77.0581 225.0 188
79.3103 225.0 188
79.9365 224.0 188
80.5573 223.0 188
80.6671 223.0 188
80.9198 223.0 188
82.4030 222.0 188
83.0292 222.0 188
83.6554 222.0 188
84.2651 221.0 188
84.8859 221.0 188
85.5121 221.0 188
86.1218 223.0 188
86.9952 121.0 188
87.6215 120.0 188
88.2312 120.0 188
88.8574 121.0 188
89.4836 120.0 188
90.0934 121.0 188
90.7141 121.0 188
91.3403 120.0 188
91.9501 120.0 188
92.5763 121.0 188
93.2025 120.0 188
93.8123 121.0 188
94.4330 121.0 188
95.0592 121.0 188
95.6689 121.0 188
96.2952 121.0 188
96.9214 121.0 188
97.5311 121.0 188
98.1519 121.0 188
107.2156 231.0 188
106.4685 232.0 188
107.2156 234.0 188
108.4515 235.0 188
109.6985 236.0 188
108.4515 238.0 188
109.4513 238.0 188
109.5776 239.0 188
110.1874 240.0 188
112.1869 242.0 188
111.9342 244.0 188
112.3077 246.0 188
114.6698 246.0 188
113.5437 248.0 188
114.1699 249.0 188
115.0433 250.0 188
115.6696 253.0 188
115.7794 254.0 188
117.9053 256.0 188
116.6528 258.0 188
117.6526 260.0 188
118.9050 261.0 188
119.5148 265.0 188
120.2454 267.0 188
120.2454 269.0 188
123.2336 264.0 188
125.0903 254.0 188
125.7001 244.0 188
127.3260 240.0 188
127.5623 235.0 188
128.3093 231.0 188
128.9355 228.0 188
129.6716 224.0 188
131.4185 221.0 188
131.5283 218.0 188
131.6547 215.0 188
132.4017 212.0 188
133.2642 209.0 188
134.5111 207.0 188
135.1373 204.0 188
135.7471 201.0 188
136.3733 199.0 188
136.9830 197.0 188
137.6093 194.0 188
138.2300 193.0 188
138.8397 191.0 188
139.4659 189.0 188
140.0922 187.0 188
140.7019 185.0 188
141.3281 183.0 188
141.9324 182.0 188
142.5586 180.0 188
143.1848 179.0 188
143.7946 178.0 188
144.4208 176.0 188
145.0415 175.0 188
145.6512 173.0 188
146.5302 172.0 188
147.1509 171.0 188
