#RPLIDAR SCAN DATA
#COUNT=530
#Angule	Distance	Quality
357.6874 266.0 188
358.8574 266.0 188
358.6377 266.0 188
359.1870 266.0 188
0.0934 266.0 188
1.3733 266.0 188
1.5436 266.0 188
2.7026 266.0 188
2.3566 266.0 188
3.0267 267.0 188
4.1858 267.0 188
4.6088 267.0 188
6.1359 267.0 188
5.9216 268.0 188
7.5916 268.0 188
7.3718 269.0 188
7.9047 269.0 188
9.0747 271.0 188
8.9813 271.0 188
9.6405 271.0 188
11.1841 272.0 188
11.5906 272.0 188
11.6235 273.0 188
12.6672 274.0 188
12.9529 275.0 188
13.7329 275.0 188
14.2767 276.0 188
14.9359 277.0 188
15.8423 278.0 188
16.1389 280.0 188
17.0453 280.0 188
17.8253 282.0 188
18.3746 283.0 188
19.1547 285.0 188
19.4348 286.0 188
20.7312 286.0 188
20.6378 289.0 188
21.1707 290.0 188
22.7142 291.0 188
22.5000 293.0 188
23.4009 294.0 188
24.2029 296.0 188
24.8566 297.0 188
25.6531 300.0 188
25.9332 302.0 188
26.7297 304.0 188
27.5153 305.0 188
27.5592 307.0 188
28.2184 310.0 188
28.7622 311.0 188
30.1685 313.0 188
30.4651 314.0 188
31.2451 318.0 188
31.7944 320.0 188
32.7008 317.0 188
32.8711 323.0 188
33.2776 339.0 188
36.4032 302.0 188
37.9797 290.0 188
38.4027 285.0 188
38.6829 279.0 188
39.8584 275.0 188
40.8856 270.0 188
41.9348 266.0 188
42.0886 262.0 188
42.7643 257.0 188
44.0442 253.0 188
45.4669 250.0 188
46.7468 246.0 188
46.5436 242.0 188
46.8237 239.0 188
48.1201 236.0 188
48.5431 233.0 188
48.8232 230.0 188
49.7296 227.0 188
51.4050 225.0 188
52.0587 222.0 188
52.6080 220.0 188
53.3881 218.0 188
53.5419 216.0 188
53.9648 213.0 188
55.3711 211.0 188
56.0468 209.0 188
56.7004 207.0 188
57.3541 205.0 188
58.0298 203.0 188
58.6835 201.0 188
59.3591 200.0 188
60.0128 198.0 188
60.6665 196.0 188
61.3422 195.0 188
61.9958 194.0 188
62.6715 192.0 188
63.0780 191.0 188
63.9844 190.0 188
64.6545 189.0 188
65.3082 188.0 188
65.9839 186.0 188
66.6376 186.0 188
67.2968 185.0 188
67.9669 183.0 188
68.6206 183.0 188
69.2963 182.0 188
69.9500 181.0 188
70.6201 180.0 188
71.2793 179.0 188
71.9330 179.0 188
72.5922 178.0 188
73.2623 178.0 188
73.9215 177.0 188
74.5752 176.0 188
75.2344 175.0 188
75.9045 175.0 188
76.5582 174.0 188
77.2174 174.0 188
