#RPLIDAR SCAN DATA
#COUNT=529
#Angule	Distance	Quality
359.4342 167.0 188
0.1044 167.0 188
0.7635 166.0 188
1.4172 167.0 188
2.0929 167.0 188
2.7466 167.0 188
3.4167 167.0 188
4.0759 167.0 188
4.7461 168.0 188
5.4053 167.0 188
6.0590 168.0 188
6.7291 168.0 188
7.3883 169.0 188
8.0585 169.0 188
8.7177 169.0 188
9.3878 169.0 188
10.0415 170.0 188
10.7172 170.0 188
11.3708 170.0 188
12.0465 171.0 188
12.7002 172.0 188
13.3704 172.0 188
13.7769 173.0 188
14.4525 173.0 188
15.1062 173.0 188
15.7764 174.0 188
16.4355 174.0 188
17.1057 176.0 188
17.7649 176.0 188
18.4351 177.0 188
19.0887 177.0 188
19.7644 178.0 188
20.4181 179.0 188
21.0938 180.0 188
21.7639 180.0 188
22.4176 181.0 188
23.0933 182.0 188
23.7469 183.0 188
24.4171 184.0 188
25.0763 185.0 188
25.7465 186.0 188
26.4056 187.0 188
27.0758 188.0 188
27.7295 189.0 188
28.4052 190.0 188
29.0588 191.0 188
29.7290 193.0 188
30.3882 194.0 188
31.0583 195.0 188
31.7340 196.0 188
32.3877 198.0 188
33.0579 199.0 188
33.7170 201.0 188
34.3872 202.0 188
35.0464 204.0 188
35.7166 206.0 188
36.3867 207.0 188
37.0459 209.0 188
37.7161 211.0 188
38.6224 213.0 188
39.0454 215.0 188
38.3423 216.0 188
40.3748 218.0 188
41.0449 221.0 188
41.6986 223.0 188
42.3743 225.0 188
43.0444 227.0 188
42.1985 230.0 188
44.3738 232.0 188
44.2804 234.0 188
44.4507 237.0 188
46.3733 240.0 188
45.6537 243.0 188
45.7031 245.0 188
48.1091 247.0 188
46.7798 251.0 188
48.4497 254.0 188
47.9828 257.0 188
49.5264 261.0 188
50.4327 264.0 188
50.8557 268.0 188
51.1523 271.0 188
51.3116 275.0 188
51.6083 279.0 188
52.5146 283.0 188
53.0585 288.0 188
53.7177 292.0 188
54.1406 297.0 188
54.5416 301.0 188
55.3436 306.0 188
56.1401 312.0 188
56.4203 317.0 188
57.4640 322.0 188
57.4969 328.0 188
58.0463 334.0 188
59.0735 340.0 188
59.6228 346.0 188
59.9194 353.0 188
60.8258 360.0 188
61.3696 367.0 188
61.6553 375.0 188
62.1991 381.0 188
63.2318 390.0 188
63.5284 398.0 188
64.0613 407.0 188
64.7314 415.0 188
65.2808 426.0 188
65.9344 435.0 188
66.6046 443.0 188
67.2638 450.0 188
67.6868 450.0 188
69.2633 446.0 188
69.9335 445.0 188
70.5927 442.0 188
70.9991 442.0 188
71.9165 440.0 188
72.4493 438.0 188
73.1250 435.0 188
73.6523 433.0 188
74.7015 432.0 188
75.2344 431.0 188
75.8881 427.0 188
76.8109 426.0 188
77.4646 424.0 188
78.0139 423.0 188
78.5468 423.0 188
79.2169 422.0 188
79.7498 421.0 188
80.6671 420.0 188
81.3263 419.0 188
82.1063 418.0 188
82.5293 418.0 188
83.4357 417.0 188
83.9795 416.0 188
84.3860 416.0 188
85.1825 416.0 188
86.2152 416.0 188
86.3745 415.0 188
87.2919 415.0 188
88.0774 415.0 188
88.7476 415.0 188
89.1541 414.0 188
89.8242 415.0 188
90.3571 416.0 188
91.1536 415.0 188
92.0599 415.0 188
92.7136 416.0 188
93.2465 416.0 188
94.0265 416.0 188
94.4495 416.0 188
95.2295 417.0 188
95.8887 417.0 188
96.5424 418.0 188
97.0752 419.0 188
97.7454 419.0 188
98.6517 420.0 188
98.9374 420.0 188
99.5911 422.0 188
100.6403 422.0 188
101.1676 423.0 188
101.7004 424.0 188
102.2333 426.0 188
102.8870 426.0 188
103.8098 428.0 188
104.3427 431.0 188
105.1227 432.0 188
105.5292 433.0 188
106.1993 435.0 188
106.9794 438.0 188
107.5122 439.0 188
108.0450 441.0 188
108.8251 442.0 188
109.3744 446.0 188
110.2808 446.0 188
110.9344 448.0 188
111.3409 450.0 188
112.5439 447.0 188
113.2141 465.0 188
116.5265 407.0 188
117.1857 398.0 188
118.1085 388.0 188
118.5260 380.0 188
119.8279 369.0 188
120.6244 361.0 188
121.0419 352.0 188
121.8274 346.0 188
122.6239 338.0 188
123.4204 331.0 188
124.2169 324.0 188
124.8871 317.0 188
125.5573 311.0 188
126.2329 305.0 188
127.2656 300.0 188
128.4357 294.0 188
129.2322 289.0 188
130.1550 284.0 188
130.6989 280.0 188
131.6217 276.0 188
131.7810 271.0 188
132.4512 267.0 188
133.2477 263.0 188
134.7968 260.0 188
134.3408 255.0 188
135.3900 252.0 188
136.1865 249.0 188
137.4664 246.0 188
137.6367 243.0 188
140.0427 240.0 188
140.7184 237.0 188
140.3723 234.0 188
140.2954 231.0 188
142.7014 229.0 188
143.3716 227.0 188
144.2780 225.0 188
143.2013 223.0 188
145.3546 220.0 188
146.0303 218.0 188
146.6840 216.0 188
147.3541 214.0 188
147.1399 212.0 188
148.6835 211.0 188
149.3591 201.0 188
150.0128 199.0 188
150.6830 201.0 188
151.3422 205.0 188
151.5125 203.0 188
152.6715 201.0 188
153.3417 200.0 188
153.9954 198.0 188
154.6710 197.0 188
155.3247 196.0 188
155.9949 194.0 188
156.6541 193.0 188
157.3242 192.0 188
157.9834 191.0 188
158.2800 191.0 188
159.3237 189.0 188
159.9829 188.0 188
160.6531 188.0 188
161.3123 187.0 188
161.9824 186.0 188
162.6526 185.0 188
163.3118 185.0 188
163.9819 184.0 188
164.6521 183.0 188
165.3113 183.0 188
165.9814 182.0 188
166.6516 182.0 188
167.3108 181.0 188
167.9810 181.0 188
168.6511 180.0 188
169.3103 180.0 188
169.9805 180.0 188
170.6561 179.0 188
171.3098 179.0 188
171.9800 178.0 188
172.6556 178.0 188
173.3093 178.0 188
173.9795 178.0 188
174.6552 178.0 188
175.3088 178.0 188
175.9790 177.0 188
176.6547 178.0 188
177.3083 177.0 188
177.9840 177.0 188
178.6542 177.0 188
179.3079 177.0 188
179.9835 177.0 188
180.6537 177.0 188
181.3074 177.0 188
181.9830 177.0 188
182.6367 178.0 188
183.3124 178.0 188
183.9825 178.0 188
184.6362 178.0 188
185.3119 178.0 188
185.9821 178.0 188
186.6357 179.0 188
187.3114 179.0 188
187.9651 179.0 188
188.6353 180.0 188
189.3109 180.0 188
189.9646 180.0 188
190.6403 181.0 188
191.3104 181.0 188
191.9641 182.0 188
192.6398 182.0 188
193.2935 183.0 188
193.9636 183.0 188
194.6393 184.0 188
195.2930 185.0 188
195.9686 185.0 188
196.6388 186.0 188
197.2925 186.0 188
198.2153 187.0 188
198.6218 188.0 188
199.2920 189.0 188
199.9677 190.0 188
200.6213 191.0 188
201.2915 191.0 188
201.9672 192.0 188
202.6208 193.0 188
203.2965 194.0 188
203.9667 195.0 188
204.6204 196.0 188
205.2960 197.0 188
205.9662 198.0 188
206.6199 199.0 188
207.2955 201.0 188
207.9657 202.0 188
208.6249 203.0 188
209.2950 204.0 188
209.9652 205.0 188
210.6244 208.0 188
211.2946 208.0 188
211.9647 210.0 188
212.6404 212.0 188
212.1680 213.0 188
213.9642 215.0 188
214.6399 215.0 188
215.2936 218.0 188
215.0903 219.0 188
215.6396 221.0 188
216.5460 223.0 188
216.9635 219.0 188
218.6389 226.0 188
218.7927 233.0 188
219.9683 219.0 188
221.3416 207.0 188
223.3081 201.0 188
223.9673 199.0 188
224.6375 195.0 188
225.9668 189.0 188
226.6370 186.0 188
227.3071 183.0 188
227.9828 181.0 188
228.6365 178.0 188
229.3121 176.0 188
229.9823 174.0 188
230.6360 172.0 188
231.5588 170.0 188
232.2290 168.0 188
232.9047 167.0 188
233.5583 165.0 188
234.2340 163.0 188
234.9042 161.0 188
235.5579 160.0 188
236.2335 158.0 188
236.9037 157.0 188
237.5739 156.0 188
238.2330 154.0 188
238.9032 153.0 188
239.5734 152.0 188
240.2325 151.0 188
240.9027 150.0 188
241.5729 148.0 188
242.2485 147.0 188
242.9022 147.0 188
243.5779 146.0 188
244.2480 145.0 188
244.9182 144.0 188
245.5774 143.0 188
246.2476 143.0 188
246.9012 142.0 188
247.5769 141.0 188
248.2306 141.0 188
248.9063 140.0 188
249.5599 140.0 188
250.2301 139.0 188
250.9058 139.0 188
251.5594 139.0 188
252.2296 138.0 188
252.8888 138.0 188
253.5590 137.0 188
254.2181 137.0 188
254.8883 137.0 188
255.5585 137.0 188
256.2177 136.0 188
256.8878 136.0 188
257.5415 136.0 188
258.2172 136.0 188
258.8708 136.0 188
259.5465 136.0 188
260.2002 136.0 188
260.8704 136.0 188
261.5460 136.0 188
262.1997 135.0 188
262.8699 136.0 188
263.5291 136.0 188
264.1992 135.0 188
264.8584 136.0 188
265.5286 136.0 188
266.1987 136.0 188
266.8579 136.0 188
267.5116 136.0 188
268.1873 136.0 188
268.8409 136.0 188
269.4946 136.0 188
270.1703 136.0 188
270.8240 136.0 188
271.4996 136.0 188
272.1533 136.0 188
272.8125 136.0 188
273.4827 136.0 188
274.1364 136.0 188
274.7955 136.0 188
275.4657 136.0 188
276.1249 136.0 188
276.7950 136.0 188
277.4487 136.0 188
278.1079 136.0 188
278.7781 136.0 188
279.4373 136.0 188
280.0909 137.0 188
280.7611 137.0 188
281.4203 137.0 188
282.0905 137.0 188
282.7496 138.0 188
283.4033 138.0 188
284.0735 139.0 188
284.7327 139.0 188
285.3864 139.0 188
286.0620 139.0 188
286.7157 140.0 188
287.3859 140.0 188
288.0450 141.0 188
288.7152 141.0 188
289.3744 142.0 188
290.0446 143.0 188
290.6982 143.0 188
291.3739 144.0 188
292.0276 144.0 188
292.6978 145.0 188
293.3734 146.0 188
294.0271 147.0 188
294.7028 148.0 188
295.3564 149.0 188
296.0266 149.0 188
296.6858 151.0 188
297.3560 152.0 188
298.0261 152.0 188
298.6853 153.0 188
299.3555 155.0 188
300.0146 156.0 188
300.6848 157.0 188
301.3385 158.0 188
302.0142 159.0 188
302.6678 160.0 188
303.3435 161.0 188
